genome_ID,BGC product,BiGSCAPE clan,BiGSCAPE family,BGC type
Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_high_PE.013.contigs,arylpolyene,283,283,Others
Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_low_PE.013.contigs,bacteriocin,2,1602,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_low_PE.013.contigs,T3PKS,842,842,PKSother
Cebus_capucinus_imitator_PRJNA485217_SSR046__maxbin2_high_prob.012.contigs,NRPS,1231,1231,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR046__maxbin2_high_prob.012.contigs,NRPS,399,399,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR046__maxbin2_high_prob.012.contigs,T1PKS,399,399,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR046__maxbin2_high_prob.012.contigs,thiopeptide,2,1934,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE.004.contigs,arylpolyene,403,403,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE.004.contigs,siderophore,1551,1551,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE.004.contigs,NRPS-like,1809,1809,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE.004.contigs,butyrolactone,1517,1517,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE.004.contigs,arylpolyene,1647,1647,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_high_PE.004.contigs,bacteriocin,2,436,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,betalactone,695,695,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,bacteriocin,2,1006,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,terpene,1012,1012,Terpene
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,154,154,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,T1PKS,144,144,PKSI
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS-like,1867,1867,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,butyrolactone,1148,1148,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,T1PKS,590,590,PKSI
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1511,1511,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1946,1946,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1554,1554,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,bacteriocin,2,1940,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,ectoine,853,853,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,422,422,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,butyrolactone,1437,1437,Others
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1172,1172,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1258,1258,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,terpene,1163,1163,Terpene
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1870,1870,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1171,1171,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,1753,1753,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,406,406,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,296,296,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,111,111,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS-like,850,850,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS-like,1653,1653,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS-like,1655,1655,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,NRPS,784,784,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,NRPS,1766,1766,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,T1PKS,632,632,PKSI
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,NRPS,720,720,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,T3PKS,1143,1143,PKSother
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,NRPS-like,1323,1323,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,NRPS-like,1381,1381,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob.007.contigs,bacteriocin,2,806,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob.007.contigs,ladderane,1153,1153,Others
Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob.010.contigs,sactipeptide,2,1284,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR056__maxbin2_low_prob.012.contigs,bacteriocin,2,685,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR056__metabat2_high_PE.007.contigs,lanthipeptide,2,6,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR056__metabat2_low_PE.006.contigs,T3PKS,1175,1175,PKSother
Cebus_capucinus_imitator_PRJNA485217_SSR091__maxbin2_high_prob.005.contigs,lanthipeptide,2,1149,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR091__maxbin2_high_prob.005.contigs,NRPS,271,271,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR091__maxbin2_high_prob.005.contigs,sactipeptide,2,1850,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR091__metabat2_high_PE.016.contigs,T3PKS,930,930,PKSother
Cebus_capucinus_imitator_PRJNA485217_SSR091__metabat2_high_PE.016.contigs,RaS-RiPP,2,1243,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR093__metabat2_high_PE.006.contigs,bacteriocin,2,1610,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR093__metabat2_high_PE.006.contigs,bacteriocin,2,497,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR093__metabat2_high_PE.006.contigs,bacteriocin,2,363,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR093__metabat2_low_PE.002.contigs,terpene,649,649,Terpene
Cebus_capucinus_imitator_PRJNA485217_SSR098__metabat2_high_PE.014.contigs,bacteriocin,2,1893,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR098__metabat2_high_PE.014.contigs,bacteriocin,2,541,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR098__metabat2_high_PE.014.contigs,NRPS,1049,1049,NRPS
Cebus_capucinus_imitator_PRJNA485217_SSR105__metabat2_low_PE.013.contigs,arylpolyene,962,962,Others
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_high_PE.012.contigs,sactipeptide,2,1726,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_low_PE.001.contigs,bacteriocin,2,244,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_low_PE.001.contigs,bacteriocin,2,244,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_low_PE.001.contigs,bacteriocin,2,476,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_low_PE.001.contigs,bacteriocin,2,60,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_low_PE.001.contigs,bacteriocin,2,1607,RiPPs
Cebus_capucinus_imitator_PRJNA485217_SSR118__metabat2_low_PE.012.contigs,arylpolyene,981,981,Others
Charlie_p2__metabat2_low_PE.014.contigs,NRPS,1688,1688,NRPS
Charlie_p2__metabat2_low_PE.014.contigs,NRPS-like,417,417,NRPS
Charlie_p2__metabat2_low_PE.014.contigs,bacteriocin,2,1370,RiPPs
CHCFC05602__maxbin2_low_prob.016.contigs,sactipeptide,2,1221,RiPPs
CHCFC05602__metabat2_high_PE.021.contigs,sactipeptide,2,824,RiPPs
CHCFC05602__metabat2_high_PE.021.contigs,bacteriocin,2,118,RiPPs
CHCFC05602__metabat2_high_PE.021.contigs,thiopeptide,2,118,RiPPs
CHCFR05602__metabat2_low_PE.004.contigs,NRPS,253,253,NRPS
CHCFR05602__metabat2_low_PE.004.contigs,sactipeptide,2,678,RiPPs
CHCFR05602__metabat2_low_PE.022.contigs,bacteriocin,2,465,RiPPs
Cobain_p2__metabat2_high_PE.012.contigs,sactipeptide,2,1160,RiPPs
C._urophasianus_2_cecum__maxbin2_low_prob.009.contigs,thiopeptide,2,1427,RiPPs
C._urophasianus_2_cecum__maxbin2_low_prob.009.contigs,bacteriocin,2,1277,RiPPs
C._urophasianus_3_cecum__metabat2_low_PE.001.contigs,sactipeptide,2,889,RiPPs
DGYFD06202__metabat2_high_PE.016.contigs,NRPS-like,773,773,NRPS
DGYFD06202__metabat2_high_PE.016.contigs,ectoine,1604,1604,Others
DGYFD06202__metabat2_high_PE.016.contigs,siderophore,755,755,Others
DGYFI06202__metabat2_high_PE.029.contigs,terpene,191,191,Terpene
DGYFI06202__metabat2_high_PE.029.contigs,NRPS,551,551,NRPS
DGYFI06202__metabat2_high_PE.029.contigs,terpene,1673,1673,Terpene
DGYFI06202__metabat2_high_PE.029.contigs,T1PKS,619,619,PKSI
DGYFI06202__metabat2_high_PE.029.contigs,T3PKS,113,113,PKSother
DGYFI06202__metabat2_high_PE.032.contigs,arylpolyene,693,693,Others
DGYFI06202__metabat2_low_PE.038.contigs,T3PKS,1113,1113,PKSother
DGYFI06202__metabat2_low_PE.038.contigs,bacteriocin,2,1059,RiPPs
DGYFI06202__metabat2_low_PE.038.contigs,butyrolactone,1443,1443,Others
DGYFI06202__metabat2_low_PE.038.contigs,NRPS,705,705,NRPS
DGYFI06202__metabat2_low_PE.038.contigs,NRPS-like,440,440,NRPS
DGYFI06202__metabat2_low_PE.038.contigs,butyrolactone,1185,1185,Others
DGYFI06202__metabat2_low_PE.038.contigs,terpene,360,360,Terpene
DGYFI06202__metabat2_low_PE.038.contigs,T1PKS,1413,1413,PKSI
DGYFI06203__maxbin2_high_prob.029.contigs,hserlactone,414,414,Others
DGYFI06203__metabat2_high_PE.041.contigs,terpene,1065,1065,Terpene
DGYFI06203__metabat2_high_PE.041.contigs,T1PKS,1605,1605,PKSI
DGYFI06203__metabat2_high_PE.041.contigs,terpene,1065,1065,Terpene
DGYFI06203__metabat2_low_PE.020.contigs,NRPS,1209,1209,NRPS
DGYFJ06201__metabat2_high_PE.006.contigs,ectoine,1057,1057,Others
DGYFJ06201__metabat2_high_PE.006.contigs,T3PKS,991,991,PKSother
DGYFJ06201__metabat2_high_PE.006.contigs,betalactone,621,621,Others
DGYFJ06201__metabat2_low_PE.011.contigs,sactipeptide,2,677,RiPPs
DGYFJ06201__metabat2_low_PE.011.contigs,NRPS-like,1022,1022,NRPS
DGYFJ06202__metabat2_low_PE.017.contigs,T3PKS,1879,1879,PKSother
DGYFJ06202__metabat2_low_PE.020.contigs,T1PKS,104,104,PKSI
DGYFJ06202__metabat2_low_PE.020.contigs,terpene,191,191,Terpene
DGYFJ06202__metabat2_low_PE.020.contigs,terpene,315,315,Terpene
DGYFJ06202__metabat2_low_PE.020.contigs,NRPS-like,160,160,NRPS
DGYFR06201__maxbin2_high_prob.025.contigs,bacteriocin,2,734,RiPPs
DGYFR06201__maxbin2_high_prob.025.contigs,sactipeptide,2,1084,RiPPs
DGYFR06201__metabat2_high_PE.004.contigs,NRPS-like,1733,1733,NRPS
DGYFR06201__metabat2_high_PE.040.contigs,sactipeptide,2,1297,RiPPs
DGYFR06201__metabat2_high_PE.048.contigs,sactipeptide,2,513,RiPPs
DGYFR06203__metabat2_low_PE.001.contigs,sactipeptide,2,1833,RiPPs
DGYFR06203__metabat2_low_PE.001.contigs,terpene,1831,1831,Terpene
DGYFR06203__metabat2_low_PE.001.contigs,bacteriocin,2,1738,RiPPs
DGYMI06202__metabat2_low_PE.015.contigs,terpene,1322,1322,Terpene
DGYMI06202__metabat2_low_PE.015.contigs,bacteriocin,2,1677,RiPPs
DGYMI06202__metabat2_low_PE.015.contigs,ectoine,1279,1279,Others
DGYMI06202__metabat2_low_PE.015.contigs,siderophore,1947,1947,Others
DGYMJ06203__metabat2_high_PE.035.contigs,bacteriocin,2,725,RiPPs
DGYMR06203__metabat2_high_PE.011.contigs,betalactone,326,326,Others
DGYMR06203__metabat2_high_PE.052.contigs,sactipeptide,2,1528,RiPPs
DGYMR06203__metabat2_low_PE.012.contigs,terpene,690,690,Terpene
DGYMR06203__metabat2_low_PE.012.contigs,NRPS-like,543,543,NRPS
DGYMR06203__metabat2_low_PE.036.contigs,sactipeptide,2,511,RiPPs
DGYMR06203__metabat2_low_PE.047.contigs,terpene,898,898,Terpene
DGYMR06203__metabat2_low_PE.047.contigs,terpene,1629,1629,Terpene
DGYMR06203__metabat2_low_PE.049.contigs,arylpolyene,1488,1488,Others
DGYMR06203__metabat2_low_PE.049.contigs,arylpolyene,1397,1397,Others
DHCFD07801__metabat2_high_PE.009.contigs,lassopeptide,2,1752,RiPPs
DHCFD07801__metabat2_high_PE.009.contigs,T3PKS,842,842,PKSother
DHCFD07801__metabat2_high_PE.018.contigs,siderophore,499,499,Others
DHCFD07801__metabat2_high_PE.018.contigs,terpene,1598,1598,Terpene
DHCFD07801__metabat2_high_PE.018.contigs,ectoine,1408,1408,Others
DHCFD07801__metabat2_high_PE.018.contigs,bacteriocin,2,1245,RiPPs
DHCFD07801__metabat2_high_PE.018.contigs,betalactone,1785,1785,Others
DHCFD07801__metabat2_high_PE.018.contigs,T1PKS,1914,1914,PKSI
DHCFD07801__metabat2_high_PE.018.contigs,butyrolactone,17,17,Others
DHCFD07801__metabat2_high_PE.018.contigs,terpene,263,263,Terpene
DHCFD07801__metabat2_low_PE.002.contigs,NRPS-like,478,478,NRPS
DHCFD07801__metabat2_low_PE.002.contigs,butyrolactone,1535,1535,Others
DHCFD07801__metabat2_low_PE.002.contigs,T1PKS,1914,1914,PKSI
DHCFD07801__metabat2_low_PE.002.contigs,terpene,704,704,Terpene
DHCFD07801__metabat2_low_PE.002.contigs,terpene,1263,1263,Terpene
DHCFD07801__metabat2_low_PE.002.contigs,ectoine,56,56,Others
DHCFD07801__metabat2_low_PE.007.contigs,terpene,243,243,Terpene
DHCFD07801__metabat2_low_PE.007.contigs,NRPS-like,1161,1161,NRPS
DHCFD07801__metabat2_low_PE.023.contigs,terpene,1597,1597,Terpene
DHCFD07801__metabat2_low_PE.023.contigs,ectoine,1937,1937,Others
DHCFD07801__metabat2_low_PE.023.contigs,T3PKS,1197,1197,PKSother
DHCFD07801__metabat2_low_PE.026.contigs,terpene,1227,1227,Terpene
DHCFD07801__metabat2_low_PE.026.contigs,terpene,1155,1155,Terpene
DHCFD07801__metabat2_low_PE.026.contigs,NRPS-like,1122,1122,NRPS
DHCFD07801__metabat2_low_PE.026.contigs,bacteriocin,2,1014,RiPPs
DHCFD07801__metabat2_low_PE.026.contigs,ectoine,1325,1325,Others
DHCFI07803__metabat2_low_PE.023.contigs,NRPS,1267,1267,NRPS
DHCFI07803__metabat2_low_PE.023.contigs,T1PKS,1267,1267,NRPS
DHCFI07803__metabat2_low_PE.023.contigs,T3PKS,1773,1773,PKSother
DHCFI07803__metabat2_low_PE.023.contigs,NRPS-like,855,855,NRPS
DHCFI07803__metabat2_low_PE.023.contigs,siderophore,63,63,Others
DHCFI07803__metabat2_low_PE.023.contigs,NRPS,1269,1269,NRPS
DHCFI07803__metabat2_low_PE.023.contigs,NRPS,808,808,NRPS
DHCFI07803__metabat2_low_PE.023.contigs,lanthipeptide,2,230,RiPPs
DHCFI07803__metabat2_low_PE.023.contigs,NRPS,1917,1917,NRPS
DHCFI07803__metabat2_low_PE.023.contigs,ectoine,1477,1477,Others
DHCMC07803__maxbin2_low_prob.008.contigs,betalactone,242,242,Others
DHCMC07803__maxbin2_low_prob.008.contigs,sactipeptide,2,915,RiPPs
DHCMC07803__metabat2_high_PE.053.contigs,sactipeptide,2,735,RiPPs
DHCMC07803__metabat2_low_PE.027.contigs,betalactone,512,512,Others
DHCMJ07802__maxbin2_low_prob.003.contigs,T3PKS,1577,1577,PKSother
DHCMJ07802__metabat2_high_PE.028.contigs,T3PKS,1606,1606,PKSother
DHCMJ07802__metabat2_high_PE.028.contigs,ectoine,1361,1361,Others
DHCMJ07802__metabat2_low_PE.013.contigs,NRPS-like,654,654,NRPS
DHCMJ07802__metabat2_low_PE.013.contigs,T1PKS,306,306,PKSI
DHCMJ07802__metabat2_low_PE.013.contigs,terpene,1401,1401,Terpene
DHCMJ07802__metabat2_low_PE.013.contigs,terpene,1683,1683,Terpene
DHCMJ07802__metabat2_low_PE.015.contigs,betalactone,1010,1010,Others
DHCMJ07802__metabat2_low_PE.015.contigs,T3PKS,880,880,PKSother
DHCMJ07802__metabat2_low_PE.015.contigs,ectoine,1223,1223,Others
DHKFC23501__maxbin2_low_prob.031.contigs,arylpolyene,444,444,Others
DHKFC23501__metabat2_high_PE.008.contigs,arylpolyene,1562,1562,Others
DHKFC23501__metabat2_high_PE.008.contigs,NRPS,1814,1814,NRPS
DHKFC23501__metabat2_high_PE.008.contigs,T1PKS,351,351,PKSI
DHKFC23501__metabat2_high_PE.052.contigs,betalactone,1534,1534,Others
DHKFC23501__metabat2_low_PE.030.contigs,arylpolyene,4,4,Others
DHKFC23501__metabat2_low_PE.030.contigs,arylpolyene,1151,1151,Others
DHKFI23501__metabat2_high_PE.018.contigs,T3PKS,699,699,PKSother
DHKFJ23503__metabat2_high_PE.038.contigs,T3PKS,965,965,PKSother
DHKFJ23503__metabat2_high_PE.040.contigs,siderophore,210,210,Others
DHKFJ23503__metabat2_high_PE.040.contigs,NRPS,275,275,NRPS
DHKFJ23503__metabat2_high_PE.040.contigs,NRPS,1115,1115,NRPS
DHKFJ23503__metabat2_high_PE.040.contigs,T3PKS,948,948,PKSother
DHKFJ23503__metabat2_high_PE.042.contigs,betalactone,662,662,Others
DHKFJ23503__metabat2_high_PE.042.contigs,NRPS,277,277,NRPS
DHKFJ23503__metabat2_low_PE.016.contigs,T3PKS,842,842,PKSother
DHKFR23501__metabat2_low_PE.021.contigs,sactipeptide,2,1391,RiPPs
DHKFR23501__metabat2_low_PE.038.contigs,arylpolyene,684,684,Others
DHKFR23503__metabat2_high_PE.003.contigs,lanthipeptide,2,483,RiPPs
DSLFC04101__maxbin2_high_prob.036.contigs,NRPS,347,347,NRPS
DSLFC04101__maxbin2_high_prob.036.contigs,sactipeptide,2,1190,RiPPs
DSLFC04101__maxbin2_high_prob.036.contigs,NRPS-like,795,795,NRPS
DSLFC04101__metabat2_high_PE.045.contigs,sactipeptide,2,513,RiPPs
DSLFC04101__metabat2_low_PE.049.contigs,sactipeptide,2,1365,RiPPs
DSLFC04102__maxbin2_low_prob.041.contigs,sactipeptide,2,906,RiPPs
DSLFC04102__metabat2_high_PE.002.contigs,sactipeptide,2,712,RiPPs
DSLFC04102__metabat2_high_PE.037.contigs,sactipeptide,2,895,RiPPs
DSLFC04102__metabat2_low_PE.004.contigs,bacteriocin,2,1698,RiPPs
DSLFC04102__metabat2_low_PE.004.contigs,bacteriocin,2,952,RiPPs
DSLFC04102__metabat2_low_PE.004.contigs,bacteriocin,2,1608,RiPPs
DSLFC04102__metabat2_low_PE.004.contigs,sactipeptide,2,255,RiPPs
DSLFC04102__metabat2_low_PE.005.contigs,bacteriocin,2,118,RiPPs
DSLFC04102__metabat2_low_PE.005.contigs,thiopeptide,2,118,RiPPs
DSLFC04102__metabat2_low_PE.005.contigs,bacteriocin,2,984,RiPPs
DSLFC04102__metabat2_low_PE.005.contigs,bacteriocin,2,196,RiPPs
DSLFC04102__metabat2_low_PE.028.contigs,sactipeptide,2,1221,RiPPs
DSLFC04102__metabat2_low_PE.037.contigs,sactipeptide,2,1945,RiPPs
DSLFD04101__metabat2_high_PE.003.contigs,T3PKS,842,842,PKSother
DSLFI04101__metabat2_low_PE.004.contigs,sactipeptide,2,1564,RiPPs
DSLFR04102__maxbin2_low_prob.027.contigs,terpene,727,727,Terpene
DSLFR04102__metabat2_low_PE.033.contigs,sactipeptide,2,750,RiPPs
DSLMC04103__metabat2_high_PE.001.contigs,terpene,1480,1480,Terpene
DSLMC04103__metabat2_high_PE.001.contigs,bacteriocin,2,929,RiPPs
DSLMC04103__metabat2_high_PE.018.contigs,lanthipeptide,2,585,RiPPs
DSLMC04103__metabat2_high_PE.018.contigs,NRPS,1901,1901,NRPS
DSLMC04103__metabat2_high_PE.037.contigs,sactipeptide,2,956,RiPPs
DSLMC04103__metabat2_high_PE.040.contigs,sactipeptide,2,255,RiPPs
