SGB_ID,Completeness,Contamination,Genome size (bp),Contig count,N50,GC,BioProject,Domain,Phylum,Class,Order,Family,Genus,Species,fastani_ani
SAMEA104315429__metabat2_high_PE.052.contigs,69.46,0.97,913220,304,3118,57.0,PRJEB22765,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomethylophilaceae,g__UBA71,s__,
R15__metabat2_low_PE.004.contigs,99.14,0.0,1590220,61,39004,56.2,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__,s__,
R16__metabat2_low_PE.015.contigs,100.0,0.0,1841117,121,30788,58.6,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__,s__,
X371_Linnaeus_Two_toed_Sloth__metabat2_high_PE.025.contigs,58.97,0.39,1128223,302,3894,54.5,multi-species,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__,s__,
C._urophasianus_2_cecum__maxbin2_low_prob.009.contigs,93.36,0.59,1694891,27,247100,55.0,PRJNA336354,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces_I,s__,
R18__maxbin2_low_prob.042.contigs,53.44,0.95,1200617,452,2758,68.2,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,s__,
HHCFJ02800__maxbin2_low_prob.003.contigs,94.58,0.0,1570422,9,1118396,54.4,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Aeriscardovia,s__Aeriscardovia aeriphila,96.25
Ash_p2__metabat2_high_PE.017.contigs,83.47,4.37,1518559,375,4569,63.9,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium pseudolongum_A,96.89
Cebus_capucinus_imitator_PRJNA485217_SSR056__metabat2_high_PE.007.contigs,90.74,1.68,2148775,107,33149,65.9,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR093__metabat2_high_PE.006.contigs,78.13,1.63,1918686,430,5253,66.9,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__,
DSTMR04002__maxbin2_low_prob.029.contigs,98.64,0.23,2215868,30,205458,64.0,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium gallinarum,96.83
Dunbar_p2__metabat2_high_PE.041.contigs,98.01,2.39,2056101,96,38348,62.6,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium criceti,97.53
SAMEA3387462__metabat2_low_PE.020.contigs,93.89,1.29,1839022,154,26323,56.8,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium pseudocatenulatum,98.98
SAMEA3387478__metabat2_high_PE.013.contigs,91.32,0.61,1812688,243,10313,60.3,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium longum,99.06
Tephra_p2__metabat2_low_PE.021.contigs,84.68,2.27,2000606,239,12392,57.1,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__,
X353_Raccoon__metabat2_high_PE.003.contigs,77.81,0.47,1387564,302,5211,60.1,multi-species,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium adolescentis,97.61
DGYMI06202__metabat2_low_PE.015.contigs,76.92,0.48,2552646,687,4227,64.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium epidermidis,96.64
DHCFD07801__metabat2_low_PE.026.contigs,91.94,0.08,2632241,520,6908,70.7,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__,
HHCFD02800__metabat2_low_PE.039.contigs,82.36,4.36,2767418,643,5246,65.3,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Brevibacteriaceae,g__Brevibacterium,s__,
DHCFD07801__metabat2_low_PE.007.contigs,70.91,2.05,2702510,641,5026,73.2,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Dermabacteraceae,g__Brachybacterium,s__Brachybacterium paraconglomeratum,97.29
DHCMJ07802__metabat2_high_PE.028.contigs,99.42,2.92,3798476,134,86502,71.7,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Dermabacteraceae,g__Brachybacterium,s__Brachybacterium faecium,99.48
NHCFD04200__metabat2_low_PE.020.contigs,67.19,0.96,1919166,653,3132,73.0,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Dermabacteraceae,g__Brachybacterium,s__Brachybacterium nesterenkovii,97.46
NHCFJ02800__metabat2_low_PE.015.contigs,78.63,1.95,3375311,626,6879,72.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Dermabacteraceae,g__Brachybacterium,s__,
NHCFD04200__metabat2_high_PE.015.contigs,63.72,3.91,1890940,690,2813,68.6,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Dermacoccus,s__Dermacoccus sp001021715,98.14
DGYFD06202__metabat2_high_PE.016.contigs,78.68,1.29,2183931,671,3597,71.4,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Dermatophilaceae,g__Janibacter,s__,
X285_Short_beaked_Echidna__metabat2_low_PE.001.contigs,55.04,1.85,1881312,505,3720,68.2,multi-species,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Leifsonia,s__,
DGYFJ06201__metabat2_high_PE.006.contigs,95.65,1.3,2536051,364,10801,68.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__,
DHCFD07801__metabat2_low_PE.023.contigs,90.46,3.57,2549216,440,7862,69.1,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__,
DHKFJ23503__metabat2_high_PE.040.contigs,73.13,3.59,2397063,831,2971,65.9,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Nesterenkonia,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR098__metabat2_high_PE.014.contigs,95.74,0.83,1988166,189,15723,56.5,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__,
DHKFJ23503__metabat2_high_PE.042.contigs,88.74,0.66,1852528,18,288215,59.7,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__,
MBJMJ04200__maxbin2_low_prob.012.contigs,98.4,0.0,2278685,131,29501,59.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__,
DHCMJ07802__metabat2_low_PE.015.contigs,89.58,1.81,2366377,297,11757,55.3,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Yaniella,s__,
DHCFI07803__metabat2_low_PE.023.contigs,84.41,0.94,3480313,924,4432,64.1,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Micromonosporaceae,g__Stackebrandtia,s__,
NHCFJ02800__maxbin2_high_prob.001.contigs,67.29,0.81,2112791,756,2921,63.3,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Micromonosporaceae,g__Stackebrandtia,s__,
DGYFI06202__metabat2_high_PE.029.contigs,99.32,0.9,2776532,179,28679,66.9,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__,
DGYFI06203__metabat2_high_PE.041.contigs,93.86,1.43,2377509,270,14250,68.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium pollutisoli,98.72
DGYFJ06202__metabat2_low_PE.020.contigs,88.93,2.02,2075728,454,5731,63.4,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium falsenii,98.21
DHCMJ07802__metabat2_low_PE.013.contigs,97.02,0.75,2508804,262,16063,69.9,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium xerosis,98.64
DSTMI04001__maxbin2_low_prob.005.contigs,98.46,0.16,2814087,31,163534,54.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium stationis,98.21
NHCFD04200__metabat2_high_PE.017.contigs,90.36,1.21,2639167,421,9959,68.0,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium variabile,95.69
NHCFJ05603__metabat2_low_PE.001.contigs,99.06,0.44,2521692,133,33349,64.1,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__Corynebacterium phoceense,95.28
R14__metabat2_low_PE.014.contigs,92.02,1.55,2175470,322,9885,59.9,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__,
DGYFI06202__metabat2_low_PE.038.contigs,89.1,1.85,2964935,508,8699,65.9,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Dietzia,s__,
DHCFD07801__metabat2_high_PE.018.contigs,97.94,0.0,2997097,131,41197,71.2,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Dietzia,s__,
DHCFD07801__metabat2_low_PE.002.contigs,98.27,0.0,3310581,329,16745,68.9,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Dietzia,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.001.contigs,84.55,3.88,4188565,928,5509,63.3,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Gordonia,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR047__metabat2_low_PE.004.contigs,55.76,1.05,2215738,798,2942,68.3,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Mycobacteriaceae,g__Segniliparus,s__,
X190_Common_House_Gecko__metabat2_low_PE.001.contigs,85.23,4.11,5168025,1029,5908,70.5,multi-species,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Mycobacteriales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__,
NHCFI05602__metabat2_high_PE.006.contigs,93.22,0.93,2887028,363,10872,68.1,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Luteococcus,s__Luteococcus sp002387005,96.38
NHCFJ02800__metabat2_high_PE.002.contigs,89.14,2.91,4167054,827,6444,66.7,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Microlunatus_A,s__,
MJGMD1__metabat2_low_PE.026.contigs,98.79,0.0,2556710,17,323223,64.7,PRJNA476660,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__,
CBJMI02800__metabat2_low_PE.003.contigs,99.47,1.32,6886038,221,59410,73.0,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__Kitasatospora aureofaciens,98.27
Jenna_p2__metabat2_low_PE.018.contigs,82.25,0.0,1797822,441,4787,67.5,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__,s__,
SAMEA104404100__maxbin2_high_prob.051.contigs,71.2,0.0,813562,273,3121,40.0,PRJEB23642,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__,s__,
Trix_p1__metabat2_high_PE.012.contigs,99.19,1.61,1856648,117,32870,59.0,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__,s__,
Trix_p1__metabat2_low_PE.013.contigs,92.26,2.88,1601784,306,6881,69.5,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__,s__,
X411_Leopard__maxbin2_high_prob.008.contigs,70.72,3.09,997004,253,4157,53.8,multi-species,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR098__metabat2_high_PE.006.contigs,100.0,0.81,1887145,171,16909,64.9,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Libanicoccus,s__,
SAMEA3387473__metabat2_high_PE.020.contigs,97.51,0.52,1731763,250,9069,62.9,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Libanicoccus,s__,
DGYFR06201__metabat2_high_PE.046.contigs,95.97,2.82,1657694,272,8612,68.9,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella_E,s__Olsenella_E sp900119915,98.71
SAMEA3387439__metabat2_high_PE.024.contigs,81.78,0.0,1512142,389,4435,65.9,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella_E,s__,
SAMEA104404103__metabat2_low_PE.024.contigs,98.12,0.27,1135246,80,24638,47.2,PRJEB23642,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__,s__,
DHKFC23501__metabat2_high_PE.052.contigs,99.52,0.08,2052134,104,39424,60.4,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__An2-A,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR024__metabat2_low_PE.009.contigs,95.16,0.36,1843100,117,25733,67.6,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR056__metabat2_low_PE.012.contigs,98.39,0.81,1906427,143,24308,62.8,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,
Cobain_p2__metabat2_low_PE.016.contigs,93.95,0.0,1580528,194,11050,62.8,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.52
DGYMJ06203__metabat2_high_PE.015.contigs,89.59,1.08,2665891,203,20501,64.2,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella ihuae,95.88
DHCMC07803__metabat2_low_PE.003.contigs,100.0,0.07,2352498,49,81865,68.3,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,
SAMEA3387468__metabat2_low_PE.032.contigs,99.73,0.0,2384057,46,113797,60.6,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella tanakaei,95.34
SAMEA3387473__metabat2_low_PE.005.contigs,97.18,0.88,1928944,123,28617,60.2,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,
SAMEA3387474__metabat2_low_PE.017.contigs,99.19,0.0,1869170,32,116906,61.2,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,
SAMEA3387485__metabat2_high_PE.042.contigs,97.15,0.0,1881577,147,20543,63.9,PRJEB9357,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella stercoris,95.47
X413_Lion__maxbin2_high_prob.006.contigs,58.02,0.89,1060233,276,4112,61.5,multi-species,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,
DHCMC07803__metabat2_low_PE.050.contigs,97.95,2.62,2411609,115,39271,62.1,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Enorma,s__Enorma phocaeensis,96.47
NHCFC04200__metabat2_low_PE.026.contigs,99.19,0.81,2089151,67,45666,62.2,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Enorma,s__Enorma massiliensis,96.12
DGYMJ06203__metabat2_high_PE.045.contigs,86.08,2.23,1972544,382,6512,65.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
NHCFC04200__metabat2_low_PE.031.contigs,96.57,0.0,2034163,227,14275,61.5,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R07__metabat2_high_PE.011.contigs,81.76,0.27,1122550,210,6991,40.9,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R11__maxbin2_low_prob.032.contigs,97.58,0.2,2412350,146,28227,61.4,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R11__metabat2_high_PE.032.contigs,92.2,3.68,1990765,348,7579,59.9,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R11__metabat2_low_PE.037.contigs,66.35,0.54,1329729,400,3641,60.9,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R14__metabat2_low_PE.025.contigs,99.19,0.0,2025264,62,58152,59.2,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R15__metabat2_low_PE.045.contigs,80.57,1.98,1672307,389,4897,55.0,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R17__maxbin2_high_prob.003.contigs,72.94,3.36,2036375,667,3338,56.6,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R18__metabat2_low_PE.019.contigs,98.39,0.27,2213672,286,11715,65.2,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
R20__metabat2_low_PE.053.contigs,96.51,0.0,2220655,103,39530,58.0,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR012__metabat2_low_PE.012.contigs,99.19,0.5,1830006,59,68085,53.4,PRJNA485217,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__CAG-1427,s__,
DSLMC04103__metabat2_high_PE.001.contigs,94.08,1.43,3054086,174,26828,60.3,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Gordonibacter,s__,
HHCFC01400__metabat2_low_PE.042.contigs,93.48,0.81,2892263,360,11592,67.3,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Gordonibacter,s__Gordonibacter urolithinfaciens,98.14
HHCFC01400__metabat2_high_PE.058.contigs,82.94,4.03,2910254,422,9512,65.5,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Raoultibacter,s__,
DGYMJ06203__metabat2_high_PE.035.contigs,70.52,0.52,2117397,638,3668,65.8,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Rubneribacter,s__,
DSLMC04102__metabat2_low_PE.041.contigs,84.59,1.08,2573249,482,6736,66.0,PRJNA417359,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Rubneribacter,s__Rubneribacter badeniensis,97.9
SAMEA104404100__maxbin2_high_prob.018.contigs,99.01,3.23,1987552,117,37237,46.4,PRJEB23642,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Slackia_A,s__,
Snoopy_p1__metabat2_high_PE.019.contigs,60.34,1.28,1190856,378,3439,62.9,PRJEB20308,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Slackia_A,s__,
R11__maxbin2_low_prob.055.contigs,69.51,2.76,1629136,493,3705,56.7,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__QAMH01,g__,s__,
R11__metabat2_low_PE.020.contigs,95.16,0.81,2099960,190,18039,55.6,PRJNA532626,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__QAMH01,g__,s__,
R03__metabat2_high_PE.060.contigs,61.57,0.29,1262462,487,2619,36.9,PRJNA532626,d__Bacteria,p__Armatimonadota,c__UBA5829,o__UBA5829,f__UBA5829,g__,s__,
R15__maxbin2_low_prob.015.contigs,78.84,1.49,2317077,303,14951,48.5,PRJNA532626,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__,s__,
